  [Bronchospasm] macro-cycle end, t= 11.20s  auto_peep=4.3094
  [Bronchospasm] macro-cycle end, t= 17.68s  auto_peep=3.9775
  [Bronchospasm] macro-cycle end, t= 29.03s  auto_peep=2.2832
  [Bronchospasm] macro-cycle end, t= 35.03s  auto_peep=4.0087
  [Bronchospasm] macro-cycle end, t= 41.03s  auto_peep=4.2016
  [Bronchospasm] macro-cycle end, t= 47.03s  auto_peep=3.3715
  [Bronchospasm] macro-cycle end, t= 53.10s  auto_peep=4.3508
  [Bronchospasm] macro-cycle end, t= 59.10s  auto_peep=3.8144
  [Bronchospasm] macro-cycle end, t= 65.10s  auto_peep=5.5296
  [Bronchospasm] macro-cycle end, t= 75.70s  auto_peep=2.2661
  [Bronchospasm] macro-cycle end, t= 81.70s  auto_peep=4.1453
  [Bronchospasm] macro-cycle end, t= 87.70s  auto_peep=3.5732
  [Bronchospasm] macro-cycle end, t= 93.70s  auto_peep=4.0106
  [Bronchospasm] macro-cycle end, t= 99.70s  auto_peep=2.9073
  [Bronchospasm] macro-cycle end, t=105.70s  auto_peep=3.6333
  [Bronchospasm] macro-cycle end, t=116.67s  auto_peep=3.2884
  [Bronchospasm] macro-cycle end, t= 10.54s  auto_peep=2.5940
  [Bronchospasm] macro-cycle end, t= 16.54s  auto_peep=3.3600
  [Bronchospasm] macro-cycle end, t= 22.54s  auto_peep=3.0918
  [Bronchospasm] macro-cycle end, t= 33.89s  auto_peep=4.5581
  [Bronchospasm] macro-cycle end, t= 39.89s  auto_peep=3.6376
  [Bronchospasm] macro-cycle end, t= 45.89s  auto_peep=2.0937
  [Bronchospasm] macro-cycle end, t= 51.89s  auto_peep=2.6926
  [Bronchospasm] macro-cycle end, t= 58.29s  auto_peep=3.3759
  [Bronchospasm] macro-cycle end, t= 64.82s  auto_peep=4.0848
  [Bronchospasm] macro-cycle end, t= 70.82s  auto_peep=3.2238
  [Bronchospasm] macro-cycle end, t= 76.82s  auto_peep=3.5113
  [Bronchospasm] macro-cycle end, t= 83.51s  auto_peep=4.3987
  [Bronchospasm] macro-cycle end, t= 89.51s  auto_peep=3.9424
  [Bronchospasm] macro-cycle end, t= 95.51s  auto_peep=2.7303
  [Bronchospasm] macro-cycle end, t=102.15s  auto_peep=3.4028
  [Bronchospasm] macro-cycle end, t=108.15s  auto_peep=3.7113
  [Bronchospasm] macro-cycle end, t=114.15s  auto_peep=3.6026
  [Bronchospasm] macro-cycle end, t=120.15s  auto_peep=3.6320
  [Bronchospasm] macro-cycle end, t= 10.52s  auto_peep=2.5170
  [Bronchospasm] macro-cycle end, t= 16.52s  auto_peep=3.3627
  [Bronchospasm] macro-cycle end, t= 22.52s  auto_peep=3.8467
  [Bronchospasm] macro-cycle end, t= 28.66s  auto_peep=4.5667
  [Bronchospasm] macro-cycle end, t= 35.24s  auto_peep=4.7478
  [Bronchospasm] macro-cycle end, t= 41.89s  auto_peep=3.6444
  [Bronchospasm] macro-cycle end, t= 48.47s  auto_peep=2.6098
  [Bronchospasm] macro-cycle end, t= 54.73s  auto_peep=3.6410
  [Bronchospasm] macro-cycle end, t= 61.16s  auto_peep=4.3835
  [Bronchospasm] macro-cycle end, t= 67.16s  auto_peep=3.8766
  [Bronchospasm] macro-cycle end, t= 73.16s  auto_peep=2.4130
  [Bronchospasm] macro-cycle end, t= 79.16s  auto_peep=2.5117
  [Bronchospasm] macro-cycle end, t= 85.58s  auto_peep=4.9682
  [Bronchospasm] macro-cycle end, t= 91.58s  auto_peep=3.8100
  [Bronchospasm] macro-cycle end, t= 97.58s  auto_peep=4.4432
  [Bronchospasm] macro-cycle end, t=103.92s  auto_peep=3.8386
  [Bronchospasm] macro-cycle end, t=110.60s  auto_peep=4.2229
  [Bronchospasm] macro-cycle end, t=117.38s  auto_peep=3.2060
  [Bronchospasm] macro-cycle end, t=123.40s  auto_peep=3.8169
  [Bronchospasm] macro-cycle end, t=  6.00s  auto_peep=4.5986
  [Bronchospasm] macro-cycle end, t= 12.20s  auto_peep=4.2101
  [Bronchospasm] macro-cycle end, t= 18.20s  auto_peep=3.9254
  [Bronchospasm] macro-cycle end, t= 29.22s  auto_peep=2.3294
  [Bronchospasm] macro-cycle end, t= 35.22s  auto_peep=5.1699
  [Bronchospasm] macro-cycle end, t= 46.19s  auto_peep=2.5337
  [Bronchospasm] macro-cycle end, t= 52.19s  auto_peep=1.6003
  [Bronchospasm] macro-cycle end, t= 58.76s  auto_peep=2.6956
  [Bronchospasm] macro-cycle end, t= 64.84s  auto_peep=4.4788
  [Bronchospasm] macro-cycle end, t= 70.84s  auto_peep=2.6082
  [Bronchospasm] macro-cycle end, t= 76.84s  auto_peep=2.3559
  [Bronchospasm] macro-cycle end, t= 87.72s  auto_peep=2.3152
  [Bronchospasm] macro-cycle end, t= 93.81s  auto_peep=4.1916
  [Bronchospasm] macro-cycle end, t= 99.81s  auto_peep=3.7826
  [Bronchospasm] macro-cycle end, t=106.35s  auto_peep=4.0189
  [Bronchospasm] macro-cycle end, t=112.89s  auto_peep=4.1881
  [Bronchospasm] macro-cycle end, t=119.34s  auto_peep=4.8741
  [Bronchospasm] macro-cycle end, t=  6.00s  auto_peep=2.9196
