scenario_id,condition,generated_at,is_valid,invalid_reason,compliance_mL_per_cmH2O,resistance_cmH2O_L_s,respiratory_rate,insp_pressure_cmH2O,ie_ratio,peep_cmH2O,rise_time_s,ppeak_cmH2O,delivered_vt_mL,driving_p_cmH2O,mean_paw_cmH2O,auto_peep_cmH2O,fill_fraction,minute_vent_L,time_to_peak_flow_s
PCV_Normal_C050_R002_P005_RR008_PEEP00_IE100_RT000,Normal,2026-05-07T05:40:37.146506+00:00,True,,50.0,2.0,8,5,1.0,0,0.0,5.0,250.0,5.0,2.5,0.0,1.0,2.0,0.0
PCV_Normal_C050_R002_P005_RR008_PEEP00_IE100_RT020,Normal,2026-05-07T05:40:37.612920+00:00,True,,50.0,2.0,8,5,1.0,0,0.2,5.0,250.0,5.0,2.43,0.0,1.0,2.0,0.19
PCV_Normal_C050_R002_P005_RR008_PEEP00_IE100_RT040,Normal,2026-05-07T05:40:38.079416+00:00,True,,50.0,2.0,8,5,1.0,0,0.4,5.0,250.0,5.0,2.36,0.0,1.0,2.0,0.39
PCV_Normal_C050_R002_P005_RR008_PEEP00_IE050_RT000,Normal,2026-05-07T05:40:38.562813+00:00,True,,50.0,2.0,8,5,0.5,0,0.0,5.0,250.0,5.0,1.67,0.0,1.0,2.0,0.0
PCV_Normal_C050_R002_P005_RR008_PEEP00_IE050_RT020,Normal,2026-05-07T05:40:39.033556+00:00,True,,50.0,2.0,8,5,0.5,0,0.2,5.0,250.0,5.0,1.6,0.0,1.0,2.0,0.19
PCV_Normal_C050_R002_P005_RR008_PEEP00_IE050_RT040,Normal,2026-05-07T05:40:39.500714+00:00,True,,50.0,2.0,8,5,0.5,0,0.4,5.0,250.0,5.0,1.53,0.0,1.0,2.0,0.39
PCV_Normal_C050_R002_P005_RR008_PEEP00_IE033_RT000,Normal,2026-05-07T05:40:39.982788+00:00,True,,50.0,2.0,8,5,0.33,0,0.0,5.0,250.0,5.0,1.25,0.0,1.0,2.0,0.0
PCV_Normal_C050_R002_P005_RR008_PEEP00_IE033_RT020,Normal,2026-05-07T05:40:40.453770+00:00,True,,50.0,2.0,8,5,0.33,0,0.2,5.0,250.0,5.0,1.18,0.0,1.0,2.0,0.19
PCV_Normal_C050_R002_P005_RR008_PEEP00_IE033_RT040,Normal,2026-05-07T05:40:40.925609+00:00,True,,50.0,2.0,8,5,0.33,0,0.4,5.0,250.0,5.0,1.11,0.0,1.0,2.0,0.39
PCV_Normal_C050_R002_P005_RR008_PEEP08_IE100_RT000,Normal,2026-05-07T05:40:41.415092+00:00,True,,50.0,2.0,8,5,1.0,8,0.0,13.0,250.0,5.0,10.5,0.0,1.0,2.0,0.0
PCV_Normal_C050_R002_P005_RR008_PEEP08_IE100_RT020,Normal,2026-05-07T05:40:41.887432+00:00,True,,50.0,2.0,8,5,1.0,8,0.2,13.0,250.0,5.0,10.43,0.0,1.0,2.0,0.19
PCV_Normal_C050_R002_P005_RR008_PEEP08_IE100_RT040,Normal,2026-05-07T05:40:42.358054+00:00,True,,50.0,2.0,8,5,1.0,8,0.4,13.0,250.0,5.0,10.36,0.0,1.0,2.0,0.39
PCV_Normal_C050_R002_P005_RR008_PEEP08_IE050_RT000,Normal,2026-05-07T05:40:42.844464+00:00,True,,50.0,2.0,8,5,0.5,8,0.0,13.0,250.0,5.0,9.67,0.0,1.0,2.0,0.0
PCV_Normal_C050_R002_P005_RR008_PEEP08_IE050_RT020,Normal,2026-05-07T05:40:43.317502+00:00,True,,50.0,2.0,8,5,0.5,8,0.2,13.0,250.0,5.0,9.6,0.0,1.0,2.0,0.19
PCV_Normal_C050_R002_P005_RR008_PEEP08_IE050_RT040,Normal,2026-05-07T05:40:43.787701+00:00,True,,50.0,2.0,8,5,0.5,8,0.4,13.0,250.0,5.0,9.53,0.0,1.0,2.0,0.39
PCV_Normal_C050_R002_P005_RR008_PEEP08_IE033_RT000,Normal,2026-05-07T05:40:44.274908+00:00,True,,50.0,2.0,8,5,0.33,8,0.0,13.0,250.0,5.0,9.25,0.0,1.0,2.0,0.0
PCV_Normal_C050_R002_P005_RR008_PEEP08_IE033_RT020,Normal,2026-05-07T05:40:44.746472+00:00,True,,50.0,2.0,8,5,0.33,8,0.2,13.0,250.0,5.0,9.18,0.0,1.0,2.0,0.19
PCV_Normal_C050_R002_P005_RR008_PEEP08_IE033_RT040,Normal,2026-05-07T05:40:45.215583+00:00,True,,50.0,2.0,8,5,0.33,8,0.4,13.0,250.0,5.0,9.11,0.0,1.0,2.0,0.39
PCV_Normal_C050_R002_P005_RR008_PEEP16_IE100_RT000,Normal,2026-05-07T05:40:45.701496+00:00,True,,50.0,2.0,8,5,1.0,16,0.0,21.0,250.0,5.0,18.5,0.0,1.0,2.0,0.0
PCV_Normal_C050_R002_P005_RR008_PEEP16_IE100_RT020,Normal,2026-05-07T05:40:46.174232+00:00,True,,50.0,2.0,8,5,1.0,16,0.2,21.0,250.0,5.0,18.43,0.0,1.0,2.0,0.19
PCV_Normal_C050_R002_P005_RR008_PEEP16_IE100_RT040,Normal,2026-05-07T05:40:46.646572+00:00,True,,50.0,2.0,8,5,1.0,16,0.4,21.0,250.0,5.0,18.36,0.0,1.0,2.0,0.39
PCV_Normal_C050_R002_P005_RR008_PEEP16_IE050_RT000,Normal,2026-05-07T05:40:47.131964+00:00,True,,50.0,2.0,8,5,0.5,16,0.0,21.0,250.0,5.0,17.67,0.0,1.0,2.0,0.0
PCV_Normal_C050_R002_P005_RR008_PEEP16_IE050_RT020,Normal,2026-05-07T05:40:47.601925+00:00,True,,50.0,2.0,8,5,0.5,16,0.2,21.0,250.0,5.0,17.6,0.0,1.0,2.0,0.19
