scenario_id,condition,generated_at,is_valid,invalid_reason,compliance_mL_per_cmH2O,resistance_cmH2O_L_s,respiratory_rate,tidal_volume_mL,tidal_volume_mL_per_kg,ie_ratio,peep_cmH2O,flow_pattern,ppeak_cmH2O,pplat_cmH2O,driving_p_cmH2O,mean_paw_cmH2O,auto_peep_cmH2O,delivered_vt_mL,minute_vent_L
VCV_Normal_C050_R002_VT04_RR008_PEEP00_IE100_SQR,Normal,2026-05-07T05:39:43.642117+00:00,True,,50.0,2.0,8,280.0,4.0,1.0,0,square,5.75,5.6,5.6,1.64,0.0,279.25,2.234
VCV_Normal_C050_R002_VT04_RR008_PEEP00_IE100_DEC,Normal,2026-05-07T05:39:43.642687+00:00,True,,50.0,2.0,8,280.0,4.0,1.0,0,decelerating,5.62,5.61,5.61,2.09,0.0,279.25,2.234
VCV_Normal_C050_R002_VT04_RR008_PEEP00_IE050_SQR,Normal,2026-05-07T05:39:43.643190+00:00,True,,50.0,2.0,8,280.0,4.0,0.5,0,square,5.82,5.6,5.6,1.19,0.0,278.88,2.231
VCV_Normal_C050_R002_VT04_RR008_PEEP00_IE050_DEC,Normal,2026-05-07T05:39:43.643673+00:00,True,,50.0,2.0,8,280.0,4.0,0.5,0,decelerating,5.63,5.62,5.62,1.49,0.0,278.88,2.231
VCV_Normal_C050_R002_VT04_RR008_PEEP00_IE033_SQR,Normal,2026-05-07T05:39:43.644171+00:00,True,,50.0,2.0,8,280.0,4.0,0.33,0,square,5.9,5.6,5.6,0.96,0.0,278.36,2.227
VCV_Normal_C050_R002_VT04_RR008_PEEP00_IE033_DEC,Normal,2026-05-07T05:39:43.644659+00:00,True,,50.0,2.0,8,280.0,4.0,0.33,0,decelerating,5.65,5.63,5.63,1.19,0.0,278.36,2.227
VCV_Normal_C050_R002_VT04_RR008_PEEP08_IE100_SQR,Normal,2026-05-07T05:39:43.645120+00:00,True,,50.0,2.0,8,280.0,4.0,1.0,8,square,13.75,13.6,5.6,9.64,0.0,279.25,2.234
VCV_Normal_C050_R002_VT04_RR008_PEEP08_IE100_DEC,Normal,2026-05-07T05:39:43.645580+00:00,True,,50.0,2.0,8,280.0,4.0,1.0,8,decelerating,13.62,13.61,5.61,10.09,0.0,279.25,2.234
VCV_Normal_C050_R002_VT04_RR008_PEEP08_IE050_SQR,Normal,2026-05-07T05:39:43.646069+00:00,True,,50.0,2.0,8,280.0,4.0,0.5,8,square,13.82,13.6,5.6,9.19,0.0,278.88,2.231
VCV_Normal_C050_R002_VT04_RR008_PEEP08_IE050_DEC,Normal,2026-05-07T05:39:43.646554+00:00,True,,50.0,2.0,8,280.0,4.0,0.5,8,decelerating,13.63,13.62,5.62,9.49,0.0,278.88,2.231
VCV_Normal_C050_R002_VT04_RR008_PEEP08_IE033_SQR,Normal,2026-05-07T05:39:43.647034+00:00,True,,50.0,2.0,8,280.0,4.0,0.33,8,square,13.9,13.6,5.6,8.96,0.0,278.36,2.227
VCV_Normal_C050_R002_VT04_RR008_PEEP08_IE033_DEC,Normal,2026-05-07T05:39:43.647529+00:00,True,,50.0,2.0,8,280.0,4.0,0.33,8,decelerating,13.65,13.63,5.63,9.19,0.0,278.36,2.227
VCV_Normal_C050_R002_VT04_RR008_PEEP16_IE100_SQR,Normal,2026-05-07T05:39:43.647989+00:00,True,,50.0,2.0,8,280.0,4.0,1.0,16,square,21.75,21.6,5.6,17.64,0.0,279.25,2.234
VCV_Normal_C050_R002_VT04_RR008_PEEP16_IE100_DEC,Normal,2026-05-07T05:39:43.648448+00:00,True,,50.0,2.0,8,280.0,4.0,1.0,16,decelerating,21.62,21.61,5.61,18.09,0.0,279.25,2.234
VCV_Normal_C050_R002_VT04_RR008_PEEP16_IE050_SQR,Normal,2026-05-07T05:39:43.648914+00:00,True,,50.0,2.0,8,280.0,4.0,0.5,16,square,21.82,21.6,5.6,17.19,0.0,278.88,2.231
VCV_Normal_C050_R002_VT04_RR008_PEEP16_IE050_DEC,Normal,2026-05-07T05:39:43.649378+00:00,True,,50.0,2.0,8,280.0,4.0,0.5,16,decelerating,21.63,21.62,5.62,17.49,0.0,278.88,2.231
VCV_Normal_C050_R002_VT04_RR008_PEEP16_IE033_SQR,Normal,2026-05-07T05:39:43.649864+00:00,True,,50.0,2.0,8,280.0,4.0,0.33,16,square,21.9,21.6,5.6,16.96,0.0,278.36,2.227
VCV_Normal_C050_R002_VT04_RR008_PEEP16_IE033_DEC,Normal,2026-05-07T05:39:43.650359+00:00,True,,50.0,2.0,8,280.0,4.0,0.33,16,decelerating,21.65,21.63,5.63,17.19,0.0,278.36,2.227
VCV_Normal_C050_R002_VT04_RR008_PEEP20_IE100_SQR,Normal,2026-05-07T05:39:43.650824+00:00,True,,50.0,2.0,8,280.0,4.0,1.0,20,square,25.75,25.6,5.6,21.64,0.0,279.25,2.234
VCV_Normal_C050_R002_VT04_RR008_PEEP20_IE100_DEC,Normal,2026-05-07T05:39:43.651298+00:00,True,,50.0,2.0,8,280.0,4.0,1.0,20,decelerating,25.62,25.61,5.61,22.09,0.0,279.25,2.234
VCV_Normal_C050_R002_VT04_RR008_PEEP20_IE050_SQR,Normal,2026-05-07T05:39:43.651762+00:00,True,,50.0,2.0,8,280.0,4.0,0.5,20,square,25.82,25.6,5.6,21.19,0.0,278.88,2.231
VCV_Normal_C050_R002_VT04_RR008_PEEP20_IE050_DEC,Normal,2026-05-07T05:39:43.652233+00:00,True,,50.0,2.0,8,280.0,4.0,0.5,20,decelerating,25.63,25.62,5.62,21.49,0.0,278.88,2.231
VCV_Normal_C050_R002_VT04_RR008_PEEP20_IE033_SQR,Normal,2026-05-07T05:39:43.652725+00:00,True,,50.0,2.0,8,280.0,4.0,0.33,20,square,25.9,25.6,5.6,20.96,0.0,278.36,2.227
VCV_Normal_C050_R002_VT04_RR008_PEEP20_IE033_DEC,Normal,2026-05-07T05:39:43.653210+00:00,True,,50.0,2.0,8,280.0,4.0,0.33,20,decelerating,25.65,25.63,5.63,21.19,0.0,278.36,2.227
VCV_Normal_C050_R002_VT04_RR016_PEEP00_IE100_SQR,Normal,2026-05-07T05:39:43.653652+00:00,True,,50.0,2.0,16,280.0,4.0,1.0,0,square,5.91,5.61,5.61,1.86,0.0,279.25,4.468
VCV_Normal_C050_R002_VT04_RR016_PEEP00_IE100_DEC,Normal,2026-05-07T05:39:43.654087+00:00,True,,50.0,2.0,16,280.0,4.0,1.0,0,decelerating,5.66,5.64,5.64,2.3,0.0,279.25,4.468
VCV_Normal_C050_R002_VT04_RR016_PEEP00_IE050_SQR,Normal,2026-05-07T05:39:43.654516+00:00,True,,50.0,2.0,16,280.0,4.0,0.5,0,square,6.05,5.6,5.6,1.42,0.0,277.76,4.444
VCV_Normal_C050_R002_VT04_RR016_PEEP00_IE050_DEC,Normal,2026-05-07T05:39:43.654940+00:00,True,,50.0,2.0,16,280.0,4.0,0.5,0,decelerating,5.68,5.64,5.64,1.72,0.0,277.76,4.444
